Recording timestamp,Pupil diameter left,Pupil diameter right
2182450,4.10,4.31
2182470,4.08,4.30
2182490,4.07,4.29
2182510,4.06,4.28
2182530,4.05,4.27
2182550,4.04,4.26
2182570,4.02,4.25
2182590,4.01,4.24
2182610,4.00,4.23
2182630,3.98,4.22
2182650,3.97,4.21
2182670,3.97,4.19
2182690,3.96,4.19
2182710,3.96,4.18
2182730,3.95,4.18
2182750,3.95,4.18
2182770,3.96,4.18
2182790,3.96,4.18
2182810,3.97,4.18
2182830,3.98,4.19
2182850,3.99,4.20
2182870,4.01,4.20
2182890,4.01,4.21
2182910,4.02,4.21
2182930,3.92,4.11
2182950,3.87,4.04
2182970,3.82,3.97
2182990,3.78,3.92
2183010,3.75,3.88
2183030,3.69,3.85
2183049,3.65,3.81
2183069,3.61,3.78
2183089,3.57,3.74
2183109,3.52,3.70
2183129,3.49,3.67
2183149,3.46,3.62
2183169,3.41,3.57
2183189,3.37,3.54
2183209,3.33,3.50
2183229,3.30,3.45
2183249,3.26,3.40
2183269,3.23,3.36
2183289,3.21,3.33
2183309,3.18,3.30
2183329,3.17,3.27
2183349,3.15,3.25
2183369,3.13,3.22
2183389,3.11,3.21
2183409,3.09,3.20
2183429,3.08,3.19
2183449,3.05,3.23
2183469,,5.23
2183489,,
2183509,,
2183529,,
2183549,2.76,
2183569,2.83,3.74
2183589,2.92,3.35
2183609,3.01,3.24
2183629,3.08,3.21
2183649,3.12,3.23
2183669,3.14,3.26
2183689,3.15,3.27
2183709,3.16,3.28
2183729,3.18,3.30
2183749,3.20,3.33
2183769,3.21,3.34
2183789,3.23,3.35
2183809,3.25,3.37
2183829,3.26,3.37
2183849,3.29,3.38
2183869,3.31,3.39
2183889,3.32,3.41
2183909,3.34,3.43
2183929,3.36,3.47
2183949,3.39,3.51
2183969,3.41,3.54
2183989,3.42,3.56
2184009,3.44,3.59
2184029,3.45,3.60
2184049,3.46,3.61
2184069,3.46,3.61
2184089,3.46,3.61
2184109,3.45,3.61
2184129,3.45,3.62
2184149,3.44,3.62
2184169,3.44,3.61
2184189,3.44,3.61
2184209,3.43,3.60
2184229,3.42,3.59
2184249,3.41,3.58
2184269,3.40,3.57
